,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
199,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.117,
200,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.208,
201,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.26,
202,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.324,
203,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.38,
204,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.43,
205,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.485,
206,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.54,
207,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.595,
208,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.651,
209,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.707,
210,IND,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.2,
211,IND,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.377,
212,IND,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.461,
213,IND,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.362,
214,IND,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.396,
215,IND,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.43,
216,IND,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.464,
217,IND,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.499,
218,IND,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.534,
219,IND,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.569,
220,IND,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.605,
221,IND,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.641,
222,IND,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.677,
223,IND,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.714,
224,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.0,
225,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.0,
226,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.0,
227,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.0,
228,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.03,
229,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.043,
230,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.058,
231,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.074,
232,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.091,
233,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.108,
234,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.126,
235,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.143,
236,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.161,
237,IDN,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.179,
238,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.09,
239,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.164,
240,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.37,
241,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.288,
242,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.299,
243,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.311,
244,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.325,
245,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.336,
246,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.346,
247,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.357,
248,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.369,
249,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.382,
250,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.394,
251,IRN,CROPYIELD,WHEAT,TONNE_HA,A,2030,2.406,
252,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.243,
253,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.228,
254,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.006,
255,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.182,
256,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.174,
257,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.186,
258,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.2,
259,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.218,
260,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.234,
261,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.252,
262,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.27,
263,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.288,
264,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.306,
265,KAZ,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.325,
266,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.0,
267,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.0,
268,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.0,
269,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.0,
270,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.029,
271,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.041,
272,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.056,
273,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.071,
274,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.087,
275,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.104,
276,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.121,
277,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.138,
278,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.156,
279,MYS,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.173,
280,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.114,
281,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.114,
282,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.465,
283,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.526,
284,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.727,
285,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.748,
286,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.767,
287,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.793,
288,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.817,
289,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.843,
290,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.868,
291,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.894,
292,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.92,
293,NGA,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.947,
294,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.973,
295,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.851,
296,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.787,
297,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.869,
298,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.939,
299,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.963,
300,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.009,
301,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.055,
302,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.1,
303,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.151,
304,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.199,
305,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.248,
306,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.297,
307,PAK,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.346,
308,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.68,
309,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.8,
310,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.71,
311,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.66,
312,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.666,
313,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.673,
314,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.682,
315,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.689,
316,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.693,
317,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.699,
318,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.707,
319,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.714,
320,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.721,
321,PRY,CROPYIELD,WHEAT,TONNE_HA,A,2030,2.728,
322,PER,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.506,
323,PER,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.542,
324,PER,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.593,
325,PER,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.436,
326,PER,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.568,
327,PER,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.588,
328,PER,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.612,
329,PER,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.637,
330,PER,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.661,
331,PER,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.688,
332,PER,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.715,
333,PER,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.742,
334,PER,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.769,
335,PER,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.796,
336,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.0,
337,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.0,
338,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.0,
339,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.0,
340,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.026,
341,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.038,
342,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.053,
343,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.069,
344,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.085,
345,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.102,
346,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.119,
347,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.136,
348,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.153,
349,PHL,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.17,
350,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.08,
351,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.646,
352,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.65,
353,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.821,
354,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.786,
355,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.81,
356,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.839,
357,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.862,
358,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.885,
359,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.91,
360,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.936,
361,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.961,
362,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.987,
363,RUS,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.011,
364,SAU,CROPYIELD,WHEAT,TONNE_HA,A,2017,5.0,
365,SAU,CROPYIELD,WHEAT,TONNE_HA,A,2018,6.534,
